Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
6206.5450481,-0.16277040350211,0.972597929827673,-0.166009478797869,0.212302430352424,-0.986646338717313,-0.159441257426883,0.0332785354942097,0.80799156531959,0.00589787677835088,0.169209423901291,0.985562571656449,0.0894262498207155,0,0,0,1,-0.157590302258589,0.940262256725943,0.301781925656367,0.247831810290473,-0.986998482011635,-0.15975727948545,-0.0176538528949853,0.782844302102168,0.0316126096338,-0.300640393279994,0.953213622401919,0.309165528219316,0,0,0,1,3.71890,-22.97923,374.71538,0.06056,0.94526,-0.95811,-0.03244,14.85695,342.09357,0.07444,0.68157,-0.96077,13.94774,-1.57432,-54.25719,2.31741,-2.44827,5.66188,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.555048,-0.16277514394962,0.972582762191675,-0.166093715181826,0.21227164286918,-0.986645778363073,-0.159448363331052,0.0332621353153525,0.807967797187459,0.0058668102073694,0.169289920646909,0.985548929673901,0.0893933472124482,0,0,0,1,-0.15772280354831,0.940217735014801,0.301851349885129,0.247844152339071,-0.986976739981356,-0.159887479258259,-0.0176896435497376,0.782834562001935,0.031630142701473,-0.300710312428532,0.953190970756371,0.309116015736818,0,0,0,1,2.22179,-24.22316,373.48256,0.05603,0.94426,-0.95812,3.41009,11.26274,343.27715,0.06653,0.68277,-0.96075,13.96867,-1.55546,-54.23421,2.31584,-2.44457,5.66526,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.565048,-0.162782070955081,0.972584094834128,-0.166079138411505,0.212273265049284,-0.986645170014748,-0.159471098980674,0.0331712279792042,0.807955430772011,0.00577698712137603,0.169260862233278,0.985554492543954,0.0894157550251424,0,0,0,1,-0.157731418576934,0.940201816682548,0.301896539705122,0.247838623990721,-0.986975621938638,-0.159892131963799,-0.0177086695658162,0.782847412384663,0.0316211553080217,-0.300757744882564,0.953176345318006,0.309146980327585,0,0,0,1,0.12260,-25.81720,375.29832,0.06354,0.94590,-0.95811,3.14732,9.44965,340.81747,0.07829,0.68376,-0.96075,13.96379,-1.54006,-54.25236,2.31356,-2.44658,5.66612,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.5750481,-0.162791501120848,0.972599702057093,-0.165978444653321,0.212251767785368,-0.986643444552443,-0.159480197048858,0.0331773895394004,0.807916803098785,0.00579804657203808,0.169162550343663,0.985571260985667,0.0894108720302782,0,0,0,1,-0.157818250512167,0.940180346635344,0.301917948924816,0.247903442102593,-0.986961540150123,-0.159976685680674,-0.017731872747315,0.782887123298057,0.0316286761160722,-0.300779838033139,0.953169124040314,0.30914877026145,0,0,0,1,-0.50491,-25.12322,365.53937,0.05877,0.94296,-0.95813,2.79291,11.54732,343.89058,0.07395,0.67631,-0.96082,13.95724,-1.51640,-54.25217,2.30991,-2.44614,5.66858,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.5850481,-0.162834459892578,0.972607750902821,-0.165889128717263,0.212249672441368,-0.986636414441082,-0.159527089328651,0.0331613128213154,0.807915961445158,0.00578914366041824,0.169072068628197,0.98558682947729,0.0894042190019704,0,0,0,1,-0.157839846613163,0.940130145551558,0.302063021849231,0.24787847120326,-0.986957333825865,-0.16000126136084,-0.0177419160323128,0.782815658370025,0.0316507558498572,-0.300923710884798,0.953122963803082,0.309129802825153,0,0,0,1,2.24611,-25.23043,382.62817,0.06505,0.94521,-0.95811,3.69550,12.12378,349.38954,0.07913,0.68093,-0.96078,13.95400,-1.51546,-54.23534,2.31075,-2.44949,5.66855,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.5950479,-0.16284432206538,0.972622856061369,-0.165791063815894,0.212245328702065,-0.986634718789836,-0.159538098368848,0.0331588469761418,0.807908730253169,0.0058010634305693,0.168974959814871,0.985603420060452,0.0893955893255851,0,0,0,1,-0.157868831561338,0.940112020367991,0.302104243047616,0.247892540508331,-0.986953722086247,-0.160018453632962,-0.0177883366450916,0.782800291834839,0.0316192226707448,-0.300971160426541,0.953109058485352,0.309132578626262,0,0,0,1,3.44840,-24.46883,370.42781,0.06455,0.94330,-0.95813,3.80702,7.35303,338.35466,0.07568,0.68145,-0.96077,13.94727,-1.51144,-54.22176,2.30962,-2.45063,5.66841,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.6050481,-0.162861556846009,0.972628398388973,-0.165741514898451,0.212274326442965,-0.986631643612044,-0.159550614045865,0.0331896078524676,0.807871525258529,0.00583699883722608,0.168931145906037,0.985610703757035,0.0894116857295404,0,0,0,1,-0.157960529188106,0.940158391722009,0.3019118355789,0.247848254655815,-0.986938686297959,-0.160113156818668,-0.0177720395585711,0.782760117059852,0.0316315265605124,-0.300775770480395,0.953170332639938,0.30915420863651,0,0,0,1,0.39916,-24.59585,375.92090,0.06290,0.94499,-0.95812,-0.91144,13.29776,343.29892,0.07533,0.68298,-0.96075,13.92994,-1.50240,-54.22346,2.30841,-2.45082,5.67165,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.6150479,-0.162861556846009,0.972628398388973,-0.165741514898451,0.212274326442965,-0.986631643612044,-0.159550614045865,0.0331896078524676,0.807871525258529,0.00583699883722608,0.168931145906037,0.985610703757035,0.0894116857295404,0,0,0,1,-0.157960529188106,0.940158391722009,0.3019118355789,0.247848254655815,-0.986938686297959,-0.160113156818668,-0.0177720395585711,0.782760117059852,0.0316315265605124,-0.300775770480395,0.953170332639938,0.30915420863651,0,0,0,1,0.08485,-24.23046,369.21046,0.05331,0.94137,-0.95815,1.86309,12.14207,343.28646,0.07542,0.67924,-0.96079,13.92993,-1.50241,-54.22346,2.30842,-2.45082,5.67165,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.625048,-0.162855270976544,0.972631920921746,-0.165727144967158,0.212268456092559,-0.986632638183562,-0.159542370217988,0.0332009044635864,0.807856337446901,0.005851761179158,0.168918763734965,0.985612731212801,0.0894091934548253,0,0,0,1,-0.157970998545917,0.940206363659441,0.301757089470929,0.247854793052898,-0.986938816434954,-0.160108601977791,-0.0178042784360076,0.782755082226927,0.031574205722854,-0.300628368527704,0.953218728504932,0.309095908340174,0,0,0,1,2.25805,-25.76081,374.68786,0.06202,0.94530,-0.95811,10.17692,9.06599,334.70764,0.07528,0.68238,-0.96076,13.92577,-1.49546,-54.22096,2.30657,-2.44883,5.67204,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.635048,-0.162919336022151,0.972623897593012,-0.165710984390568,0.212282880567849,-0.98662250093344,-0.15961875782848,0.0331348962953321,0.807831409572034,0.00577721252402913,0.168892513446124,0.985617683807544,0.0893969135848145,0,0,0,1,-0.158073698541917,0.940199801819765,0.301723699839763,0.247835062359495,-0.986922085941403,-0.160209876844507,-0.0178212782584939,0.78274538068856,0.031583561504979,-0.300594853921149,0.953228969050556,0.309124907248397,0,0,0,1,-1.75121,-24.02369,374.70654,0.05326,0.94411,-0.95812,4.00133,12.10642,351.83080,0.07850,0.68362,-0.96075,13.91923,-1.47654,-54.19769,2.30361,-2.44810,5.67391,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.6450479,-0.162962766442675,0.972609364231589,-0.165753575607746,0.212307898254695,-0.986615149130166,-0.159655073333243,0.0331785575434079,0.807795591758981,0.00580637855453858,0.168941867028181,0.985609063964089,0.0893983299758527,0,0,0,1,-0.158073757716256,0.940176911079695,0.301794906818015,0.247857930212392,-0.986919984219789,-0.160228484561245,-0.017770282168412,0.782753133528518,0.0316489324596671,-0.300656461566781,0.953207377104603,0.309051073750035,0,0,0,1,3.47068,-25.40861,372.85988,0.06404,0.94461,-0.95812,3.77019,8.90909,335.31840,0.07535,0.68213,-0.96076,13.90253,-1.46123,-54.20100,2.30183,-2.45197,5.67460,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.655048,-0.162951311120924,0.972607795658427,-0.165774153229571,0.212253553018897,-0.986617412562733,-0.15965473378771,0.0331122169207342,0.80783971313984,0.0057385760726362,0.168951359068813,0.985607820722421,0.0893656602797614,0,0,0,1,-0.158098205209686,0.940211330496163,0.301674853372992,0.247858981159177,-0.986915946641269,-0.160254870014919,-0.0177547853732272,0.782746299033451,0.031651617364218,-0.300534730546561,0.953245662869689,0.309043544810035,0,0,0,1,1.01504,-24.83748,371.03522,0.06237,0.94432,-0.95812,3.09819,11.54837,344.50088,0.07547,0.68249,-0.96076,13.93614,-1.47129,-54.17671,2.30416,-2.44299,5.67460,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.665048,-0.163042846653376,0.97258002188593,-0.165847049835624,0.212265866418091,-0.986602144989373,-0.159737102802125,0.0331707712021686,0.807811505142374,0.00576930394219591,0.169033327335038,0.985593550171084,0.0893648217364604,0,0,0,1,-0.158097785711583,0.940284918002469,0.301445718594602,0.247881096945137,-0.986916584241287,-0.160253384478028,-0.0177327737498691,0.782770790475106,0.0316338346505023,-0.300305332677452,0.953318556947276,0.309183812655264,0,0,0,1,1.02259,-25.15483,372.25280,0.06179,0.94349,-0.95813,2.81575,10.58914,348.15361,0.07424,0.68313,-0.96075,13.94711,-1.45871,-54.18587,2.30233,-2.43530,5.67447,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.675048,-0.163026806127856,0.972588373964846,-0.165813986621126,0.212302261891224,-0.986604708905723,-0.15972062168678,0.0331731934040407,0.807778903700739,0.0057799517129512,0.169000990513363,0.985599047564291,0.0893921234538841,0,0,0,1,-0.158104908828776,0.940305725840799,0.301376963338707,0.247911213318631,-0.986914282725537,-0.160272758802882,-0.0176873818719648,0.78273734789257,0.0316709739899951,-0.300229685372307,0.95334115085492,0.309161117682541,0,0,0,1,1.01046,-24.61831,379.58278,0.06399,0.94623,-0.95810,3.69234,12.22810,339.01409,0.07409,0.68252,-0.96076,13.92122,-1.44425,-54.21141,2.30096,-2.43889,5.67637,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6206.6850481,-0.16308864680165,0.972586455716062,-0.165764484074167,0.212326498833241,-0.98659449105755,-0.159783384093616,0.0331747413160486,0.807775134626563,0.00577889741816559,0.168952757929954,0.985607345808646,0.0894060821185612,0,0,0,1,-0.158095241483326,0.940234370932545,0.301604553567378,0.247865327095987,-0.986916677430641,-0.160251079847061,-0.0177491395369959,0.782762040412915,0.0316441092824818,-0.300464619129427,0.9532680305278,0.309153260586118,0,0,0,1,2.24809,-25.36369,365.53612,0.06250,0.94405,-0.95812,1.59352,10.62179,342.05049,0.06555,0.68350,-0.96075,13.90142,-1.44687,-54.20868,2.29970,-2.44764,5.67528,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
