Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
6844.173218,-0.116297406978652,0.981334556427377,-0.153158636879091,0.194818222575562,-0.993211183147456,-0.115304372828808,0.015380664704584,0.830910482623434,-0.0025662831908887,0.153907606506331,0.988082013954374,0.087452445181051,0,0,0,1,-0.156318402171041,0.882854473145994,0.442868722284877,0.242562758785505,-0.985500407687547,-0.169365084013953,-0.0102222395723337,0.786313837198646,0.0659817476781435,-0.438045235564405,0.896528336923512,0.324837038115725,0,0,0,1,3.92658,-18.87106,361.32821,0.04398,0.93516,-0.95821,8.75184,4.62753,287.05362,0.02944,0.71674,-0.96040,-5.14341,3.91423,22.82767,0.43433,-2.18438,1.60841,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.1832179,-0.116313966485843,0.981358625480096,-0.152991784934982,0.195178340247636,-0.993209140720448,-0.115327389971513,0.0153378072150616,0.83078443365927,-0.00259225128430937,0.153736840486966,0.988108577757167,0.0875004021440944,0,0,0,1,-0.155874828751643,0.882519540183607,0.443691855481921,0.242932210298947,-0.985585392188015,-0.16886007116868,-0.0103802644481683,0.786275349510464,0.0657610465072613,-0.438914242308693,0.896119415292582,0.324765128427737,0,0,0,1,0.26548,-18.95721,361.32846,0.04471,0.93644,-0.95820,9.39036,3.43385,285.82066,0.03681,0.71573,-0.96041,-5.73105,4.43817,23.21799,0.45671,-2.17684,1.62167,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.1932179,-0.116347526963116,0.981397848136063,-0.152714415680013,0.195478112338096,-0.993205125096327,-0.115370358493789,0.0152750620710839,0.830633379553166,-0.00262780216954769,0.153453959602356,0.988152428501423,0.0874921631222449,0,0,0,1,-0.155574392027926,0.882728274746046,0.443381995843019,0.243307691230469,-0.985659925881659,-0.168413860036122,-0.0105546464356534,0.786203994367967,0.0653547880406829,-0.438665859944915,0.896270712664332,0.324705613026874,0,0,0,1,3.33113,-19.50784,362.54275,0.03811,0.93598,-0.95820,7.73984,-4.25453,287.57501,0.03816,0.71849,-0.96038,-7.11447,5.68675,24.16593,0.51356,-2.14273,1.65964,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.2032179,-0.116371113307684,0.981443675812554,-0.152401493545364,0.195774254073651,-0.993202320112597,-0.115401540319472,0.0152224097846139,0.830473812582304,-0.00264742865780987,0.153136966816588,0.988201569814488,0.0874506045076693,0,0,0,1,-0.155280046237788,0.882835946830667,0.443270793012388,0.243638329166116,-0.985717888744615,-0.168073954987588,-0.0105591623223051,0.786135358226738,0.0651802587738866,-0.438579573025571,0.896325661394813,0.324570282698237,0,0,0,1,3.93376,-19.17614,361.32514,0.05304,0.93790,-0.95818,8.19209,2.47150,287.64250,0.03723,0.71751,-0.96039,-7.40510,5.94633,24.36511,0.52454,-2.13561,1.66477,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.2132181,-0.116529316665664,0.981471630011396,-0.152100320261805,0.196064022140271,-0.99318372166108,-0.115566091490252,0.0151883342458757,0.830297739504745,-0.00267071999831847,0.152833450319591,0.988248492418532,0.0874769053981221,0,0,0,1,-0.155055740911401,0.882637358444905,0.443744462184944,0.244000950903084,-0.985763828361957,-0.167795501949517,-0.0106947793786114,0.786025258872407,0.0650187068308913,-0.439085534197998,0.89608969892278,0.324502804618257,0,0,0,1,0.94046,-21.69467,361.91111,0.03952,0.93566,-0.95820,10.96626,1.32808,286.40939,0.02928,0.71614,-0.96041,-8.00411,6.48179,24.76521,0.54749,-2.12588,1.68036,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.2232185,-0.116617831294166,0.98149895357033,-0.151856143913437,0.19638165155184,-0.993173219530764,-0.115661716153527,0.0151449450311204,0.830154073670468,-0.00269919228669288,0.152585634692396,0.988286663263219,0.0874820901873508,0,0,0,1,-0.154974190504125,0.882250906047333,0.444540840620314,0.244329322008531,-0.985792510712945,-0.167605647153019,-0.0110274280013081,0.785908284020816,0.0647785828618072,-0.439933966176607,0.895690855637305,0.324419756558622,0,0,0,1,3.31602,-18.87315,360.10761,0.04376,0.93597,-0.95820,7.32521,0.37579,281.51787,0.03952,0.71969,-0.96037,-8.45014,6.87746,25.05629,0.56290,-2.12277,1.69276,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.2332182,-0.116765799341672,0.981514920051273,-0.151639168602882,0.196630817948641,-0.993155859572534,-0.115811709939834,0.015139323252625,0.830019360253736,-0.00270211711248453,0.152369081044553,0.98832009136274,0.0874328825756328,0,0,0,1,-0.154857363521075,0.882093885759858,0.444892940832477,0.244645675958327,-0.985841462676642,-0.167287790784469,-0.0114662669551344,0.785771264336591,0.0643108311347075,-0.440369544056988,0.895510455420177,0.324332778966329,0,0,0,1,3.96984,-20.70765,361.92011,0.04180,0.93571,-0.95820,8.51835,1.57572,286.41263,0.04166,0.72027,-0.96037,-8.38960,6.81954,25.00572,0.55644,-2.12866,1.68832,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.243218,-0.116872121906369,0.981539717221819,-0.151396506706706,0.19691095267423,-0.993143298213558,-0.115923314930609,0.0151088182622209,0.829829320661492,-0.00272047777003204,0.15212422363104,0.988357759504081,0.0874172029051614,0,0,0,1,-0.154834901859769,0.882113699715433,0.444861467501378,0.244978977181586,-0.985874139701822,-0.167067943626892,-0.0118571236418621,0.785624744586285,0.0638627539750778,-0.44041329479917,0.895521024243899,0.324236845857667,0,0,0,1,2.72849,-19.83955,363.76037,0.04956,0.93997,-0.95816,7.88737,2.45205,288.86316,0.05943,0.71667,-0.96041,-7.97353,6.44115,24.71674,0.53599,-2.13987,1.67388,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.2532179,-0.117003608740664,0.98157044190405,-0.15109543196397,0.197202459322456,-0.993127969668635,-0.116050226910546,0.0151431131689137,0.829631865077189,-0.00267062696387399,0.151828899350261,0.98840328335931,0.0874042075762651,0,0,0,1,-0.15473417629963,0.881877321790192,0.445364870813189,0.245241217800979,-0.985904152927008,-0.166872884707219,-0.0121060794651919,0.785483327761133,0.0636432533036021,-0.440960268796289,0.895267434108818,0.324167848040469,0,0,0,1,3.03396,-19.84464,364.98099,0.04300,0.93849,-0.95817,6.98720,1.79581,291.29836,0.04275,0.72176,-0.96035,-7.61437,6.11335,24.46139,0.51826,-2.15304,1.66134,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6844.263218,-0.117003608740664,0.98157044190405,-0.15109543196397,0.197202459322456,-0.993127969668635,-0.116050226910546,0.0151431131689137,0.829631865077189,-0.00267062696387399,0.151828899350261,0.98840328335931,0.0874042075762651,0,0,0,1,-0.15473417629963,0.881877321790192,0.445364870813189,0.245241217800979,-0.985904152927008,-0.166872884707219,-0.0121060794651919,0.785483327761133,0.0636432533036021,-0.440960268796289,0.895267434108818,0.324167848040469,0,0,0,1,2.43776,-20.45688,363.75425,0.03459,0.93458,-0.95821,7.89269,2.20834,282.75688,0.04471,0.71841,-0.96039,-5.61278,4.30519,23.09257,0.43474,-2.19928,1.60029,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
