Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
6442.0914952,-0.100252736852989,0.976904070493722,-0.188700860093632,0.202577000172438,-0.994950713139737,-0.0975282168823339,0.0236924230789836,0.801947280616333,0.00474156806058984,0.190123272001742,0.981748867907336,0.0897339103002854,0,0,0,1,-0.116953458411762,0.906947356334057,0.404683268358557,0.230596709832333,-0.992428499490961,-0.12212076394179,-0.013123322361384,0.765631087014361,0.0375180700950263,-0.403153995943302,0.914362838524466,0.322294870340919,0,0,0,1,-2.97358,-24.32594,250.18584,0.06458,0.97637,-0.95780,4.06515,9.52292,396.36273,0.06639,0.70111,-0.96057,-0.50801,0.75495,20.20200,0.12299,-2.07433,1.08798,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1014954,-0.099982886703875,0.976955899335533,-0.188575733939254,0.20248557109351,-0.994976747134227,-0.0972231835521297,0.0238517315877506,0.802285000963711,0.00496815889828078,0.190013242272971,0.981769069705404,0.0897226935980528,0,0,0,1,-0.116617854243735,0.90700619150391,0.404648260228643,0.230652201097073,-0.99245399498091,-0.121964349667892,-0.0126415661920216,0.765862349436869,0.0378866844510587,-0.403069010751936,0.914385136334216,0.322278149606086,0,0,0,1,-2.39082,-23.13424,254.47033,0.05968,0.98305,-0.95773,3.43287,10.44220,394.54101,0.06548,0.70181,-0.96056,-0.50878,0.75000,20.20301,0.12443,-2.07399,1.08599,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1114952,-0.0996995937524219,0.976999615839071,-0.188499033177559,0.202371096739941,-0.995004925227758,-0.0969367739042696,0.0238428112934212,0.802600928677336,0.00502192860507156,0.189934572097053,0.981784000791905,0.0897304352215276,0,0,0,1,-0.116282162380417,0.907008992816554,0.404738574895038,0.230658878423355,-0.992487770762477,-0.121715981124765,-0.0123810389145373,0.766059491994944,0.0380334378759087,-0.403137788844396,0.91434870169285,0.322192795886168,0,0,0,1,-2.09934,-22.54145,256.91774,0.05919,0.97603,-0.95780,5.27004,10.19861,392.70686,0.06599,0.70092,-0.96057,-0.50906,0.74644,20.20493,0.12510,-2.07430,1.08348,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1214954,-0.0994836014843816,0.977056049720113,-0.18832056645854,0.202255212700246,-0.995026141953529,-0.0967144473030389,0.0238598216250996,0.802897326422013,0.00509906128802468,0.189757544015625,0.981817857316941,0.0897231365242086,0,0,0,1,-0.116009256627353,0.906913129078576,0.405031596950153,0.230690361030325,-0.992510741317679,-0.121557286899868,-0.0120940883893037,0.766268288734574,0.0382662590690164,-0.403401213986559,0.91422279666132,0.322162416236009,0,0,0,1,-2.38896,-23.19560,260.57355,0.06402,0.97607,-0.95780,2.85821,8.91474,393.30507,0.07651,0.70209,-0.96056,-0.51054,0.74216,20.20427,0.12609,-2.07576,1.08169,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1314953,-0.0993883901379295,0.977109869282629,-0.188091457006262,0.202117017396265,-0.995035182642322,-0.0966101522374264,0.0239041891516627,0.80313995333181,0.00518547626091781,0.189533427506727,0.981860652867755,0.0897406336145332,0,0,0,1,-0.115694363494842,0.906755006160011,0.405475534613088,0.230682332851502,-0.992536120645023,-0.121383533270918,-0.0117532965629707,0.766500651008812,0.0385606886905737,-0.403808890738979,0.914030457359896,0.322117646275381,0,0,0,1,-1.72852,-25.31677,260.55202,0.05665,0.97589,-0.95780,3.77367,8.93014,393.91533,0.06610,0.70230,-0.96056,-0.51169,0.73734,20.20314,0.12733,-2.07791,1.07967,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1414954,-0.0992626293924233,0.97716501124346,-0.187871369447152,0.201965994611142,-0.995047743411434,-0.0964908739320891,0.0238647463196867,0.803387530366178,0.00519192340033636,0.189309853951513,0.981903737758753,0.0897110853877749,0,0,0,1,-0.115250325596105,0.906489837287103,0.406194242690536,0.230676696454434,-0.992570459551418,-0.121149086337833,-0.0112596961216451,0.766669032498764,0.0390032575884713,-0.404474075583015,0.913717496819479,0.32205905349915,0,0,0,1,-0.82761,-24.68508,260.55810,0.06192,0.97567,-0.95781,6.81573,9.36224,388.42530,0.06480,0.70095,-0.96057,-0.51376,0.73400,20.20089,0.12898,-2.08142,1.07687,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1514955,-0.0992626293924233,0.97716501124346,-0.187871369447152,0.201965994611142,-0.995047743411434,-0.0964908739320891,0.0238647463196867,0.803387530366178,0.00519192340033636,0.189309853951513,0.981903737758753,0.0897110853877749,0,0,0,1,-0.115250325596105,0.906489837287103,0.406194242690536,0.230676696454434,-0.992570459551418,-0.121149086337833,-0.0112596961216451,0.766669032498764,0.0390032575884713,-0.404474075583015,0.913717496819479,0.32205905349915,0,0,0,1,-1.15535,-23.74022,256.90540,0.07627,0.97644,-0.95780,3.16349,8.91578,393.91537,0.05984,0.70122,-0.96057,-0.51376,0.73400,20.20089,0.12898,-2.08142,1.07687,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1615,-0.0991612217346955,0.977260235532448,-0.187429202785674,0.201832855053713,-0.995057978585056,-0.0964072230026718,0.0237752772440999,0.803608060278534,0.00516510338807769,0.188860498232284,0.981990408164708,0.0896965606618669,0,0,0,1,-0.114997219501741,0.906199350778518,0.406913489886889,0.230685003605562,-0.992580990471808,-0.121103310819173,-0.0108138217718823,0.76684919822338,0.0394790859527073,-0.405138155872381,0.913402776515504,0.322041611961819,0,0,0,1,-1.15535,-23.74022,256.90540,0.07627,0.97644,-0.95780,3.16349,8.91578,393.91537,0.05984,0.70122,-0.96057,-0.51618,0.72961,20.19750,0.13081,-2.08500,1.07575,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1714953,-0.09903125964335,0.977366371037692,-0.186943865778448,0.201701252624059,-0.995071224709528,-0.0963026458076324,0.0236443366779076,0.803798373214825,0.00510599472204315,0.188363981379512,0.982086127536843,0.0896416404778699,0,0,0,1,-0.114762449286956,0.906073627841479,0.407259589227141,0.230702884687657,-0.992590840366327,-0.121061692016358,-0.0103652200689615,0.766986313570992,0.039911872570841,-0.405431679297369,0.913253754609564,0.321997468168369,0,0,0,1,-2.07044,-23.76789,257.51578,0.05715,0.97639,-0.95780,4.99645,8.87908,401.84941,0.07589,0.70057,-0.96058,-0.51753,0.72621,20.19694,0.13241,-2.08657,1.07469,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6442.1814952,-0.0989321305993056,0.977471975090984,-0.186443400299153,0.20162766276416,-0.995080973172806,-0.0962135220708947,0.0235965722704954,0.804009807621838,0.00512661371530243,0.187860739426102,0.982182370455063,0.0896384847857421,0,0,0,1,-0.114575319767584,0.906004202904966,0.407466604224073,0.230738075595855,-0.992594101917724,-0.121074512023867,-0.00989708146752388,0.767132989669776,0.0403670267197822,-0.405582877758213,0.913166579103708,0.321971598293757,0,0,0,1,-0.51571,-24.97071,259.33436,0.05647,0.97403,-0.95782,4.09201,8.36399,390.24724,0.06064,0.70716,-0.96051,-0.51877,0.72235,20.19672,0.13410,-2.08743,1.07410,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
