Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
4333.4600486,-0.146165676011962,0.981021060612929,-0.127410503755232,0.232645762998117,-0.989116931096413,-0.142735765344239,0.0356967530739465,0.806856125954445,0.0168332319629699,0.131241525198475,0.991207580514863,0.0896646035107924,0,0,0,1,-0.132474679970511,0.959803425097393,0.247442970336556,0.277330442763101,-0.990481959023811,-0.137599335866145,0.00345347758608849,0.778512386354633,0.0373626421679416,-0.244630287029394,0.968896404237832,0.332327312198797,0,0,0,1,1.20935,-20.08409,384.51137,0.08246,0.91087,-0.95846,11.06732,10.11321,323.73102,0.05988,0.67307,-0.96085,1.18962,-2.04054,-53.34359,2.11781,-2.99858,4.65666,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.4700487,-0.146170876922373,0.981015580998778,-0.127446856980698,0.232632474745961,-0.989115772683886,-0.142736821362533,0.035723701667423,0.806825889877558,0.0168541507611857,0.13128145486515,0.991201955160671,0.0896616949214297,0,0,0,1,-0.132485758220488,0.959905319799192,0.247041357931896,0.277392073899942,-0.990480360258662,-0.137609470784155,0.00351175970689832,0.778462703414846,0.0373661871131944,-0.244224328362515,0.968998655853937,0.332307095849215,0,0,0,1,-1.50459,-21.47333,394.87473,0.08786,0.91323,-0.95844,9.85302,9.81624,320.06611,0.07112,0.68167,-0.96077,1.20052,-2.02208,-53.35562,2.11678,-2.98797,4.65817,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.4800489,-0.146212471027547,0.98100822642486,-0.127455844443723,0.232607122317506,-0.989109818067147,-0.1427788332223,0.0357218166040187,0.806803772515192,0.0168453955387688,0.131290795150104,0.991200881740699,0.0896577732266921,0,0,0,1,-0.132461895287816,0.959956009136544,0.246857101952604,0.277422566651757,-0.990483144850231,-0.137588233713209,0.00355429570169008,0.778458194649258,0.0373765994854278,-0.244036998245226,0.96904545050399,0.332298160019153,0,0,0,1,-0.01522,-19.90591,394.27966,0.07535,0.91095,-0.95846,12.50496,13.86525,318.27486,0.06762,0.67431,-0.96084,1.21265,-2.00493,-53.35906,2.11514,-2.98135,4.65796,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.4900486,-0.146208952030292,0.981005092789932,-0.127483959881545,0.232601966658516,-0.989111088904523,-0.142780556840098,0.0356785840628436,0.806833171605977,0.0167986440942524,0.131312328374762,0.9911988241815,0.0896691864675272,0,0,0,1,-0.132411560616909,0.959949037028021,0.246911184766412,0.2774223530537,-0.990487980095389,-0.137552249409957,0.00360913430353926,0.778490337304725,0.0374277675597945,-0.24408465330316,0.969031467038867,0.332314750336041,0,0,0,1,-0.00067,-20.52220,394.88384,0.09135,0.91285,-0.95845,18.24105,3.60963,319.39077,0.05996,0.67736,-0.96081,1.21790,-2.01377,-53.37285,2.11703,-2.98164,4.65712,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.5000488,-0.14622400912409,0.980981309944143,-0.127649456701331,0.232585692819611,-0.989109845092477,-0.142796855784663,0.0356487679357147,0.80682032583117,0.0167428339201462,0.131472033355875,0.991178543733972,0.0896783987239154,0,0,0,1,-0.132378453100515,0.959957452817516,0.246896349365768,0.277440041942528,-0.990492159931983,-0.137521672672098,0.00362559622650949,0.778491047148229,0.037434009151188,-0.244068940792297,0.969035209351473,0.332300608850953,0,0,0,1,-0.27080,-22.02408,391.81691,0.08355,0.91225,-0.95845,13.11607,13.84893,321.32643,0.06626,0.67647,-0.96082,1.24228,-1.99761,-53.39963,2.11630,-2.97678,4.65764,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.5100486,-0.146296351404134,0.980962644352057,-0.127709751428543,0.232577195411229,-0.989098558736597,-0.142861490252681,0.0357034322957128,0.806798572644601,0.0167789264421472,0.131540802711262,0.99116882909759,0.0896880974697249,0,0,0,1,-0.132343493484269,0.959953822979971,0.246929099610419,0.277466495669513,-0.990496915060901,-0.137487373840623,0.00362754631802364,0.778523506625391,0.0374319118162045,-0.244102425845024,0.969026823960571,0.332289357535051,0,0,0,1,0.89931,-19.85983,391.83831,0.08285,0.91223,-0.95845,11.37810,9.86441,318.84536,0.06072,0.67764,-0.96080,1.24979,-1.98691,-53.42015,2.11511,-2.97567,4.65755,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.5200487,-0.146259941579916,0.980965987506385,-0.12772603074528,0.232552462155815,-0.989104802912357,-0.142831716024132,0.0356491238462106,0.80677329326835,0.0167272475830952,0.131548458671628,0.991168680086581,0.0896779400714167,0,0,0,1,-0.132284719957385,0.959925994260714,0.247068819322803,0.27746378773523,-0.990501964018389,-0.137449180284577,0.00369448497210478,0.778503894616367,0.0375058370272965,-0.244233416386858,0.968990973884045,0.33226947631894,0,0,0,1,0.29761,-20.22222,396.10753,0.08579,0.91528,-0.95842,17.74931,11.53442,319.47060,0.06440,0.67173,-0.96086,1.26149,-1.96723,-53.41090,2.11384,-2.97523,4.65572,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.5300488,-0.146261133878019,0.980972052703327,-0.127677994517107,0.232547197997846,-0.989103068744189,-0.14282246029531,0.0357341411390826,0.806753296656624,0.0168189087965647,0.131513202112147,0.991171817631676,0.0896590334932095,0,0,0,1,-0.132209110456668,0.959893945398304,0.247233735870309,0.277473858640641,-0.99050917619172,-0.137395350427807,0.00376430608331724,0.77850802210541,0.0375821015946411,-0.244389583975205,0.968948628554779,0.332266630712526,0,0,0,1,0.26852,-18.98964,394.89916,0.08024,0.91212,-0.95845,14.69140,11.76157,320.08419,0.06515,0.68010,-0.96078,1.25904,-1.96744,-53.39090,2.11436,-2.97771,4.65257,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.5400491,-0.146261133878019,0.980972052703327,-0.127677994517107,0.232547197997846,-0.989103068744189,-0.14282246029531,0.0357341411390826,0.806753296656624,0.0168189087965647,0.131513202112147,0.991171817631676,0.0896590334932095,0,0,0,1,-0.132209110456668,0.959893945398304,0.247233735870309,0.277473858640641,-0.99050917619172,-0.137395350427807,0.00376430608331724,0.77850802210541,0.0375821015946411,-0.244389583975205,0.968948628554779,0.332266630712526,0,0,0,1,0.27589,-19.30085,395.50642,0.08650,0.91309,-0.95844,8.88068,12.22304,321.31137,0.06889,0.67369,-0.96084,1.25904,-1.96744,-53.39091,2.11436,-2.97771,4.65257,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4333.5500488,-0.146189895203033,0.980975614207751,-0.127732123168077,0.232516891486035,-0.989113523152507,-0.142749400765229,0.0357364493153045,0.80671933322559,0.0168228994165323,0.13156587082063,0.99116476828346,0.0896473323458962,0,0,0,1,-0.132075090239075,0.959885053165318,0.247339786534414,0.277486547693561,-0.9905222511961,-0.137297113135128,0.0039062225351385,0.778498182436947,0.0377085598925863,-0.24447963745311,0.968921018981667,0.332252544835701,0,0,0,1,-0.52675,-24.12997,388.13352,0.08267,0.91097,-0.95846,15.64239,10.26386,319.45846,0.05652,0.67757,-0.96080,1.27734,-1.94966,-53.38773,2.11429,-2.97507,4.64891,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
