Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
5074.8984148,-0.130902457448805,0.978473620878586,-0.159543451814501,0.210328603419001,-0.991390920108613,-0.129670757761071,0.0181524641828878,0.829254031996269,-0.00292641222423262,0.160546135536759,0.98702412008395,0.0902503888160435,0,0,0,1,-0.152637741472397,0.904439426631623,0.398360661858219,0.259586569794576,-0.984368263814276,-0.174973490044838,0.0200852194753771,0.789648955883069,0.0878684160151144,-0.389067826614125,0.917009022644529,0.330306614982229,0,0,0,1,-5.33298,-14.60674,340.62090,0.08651,0.92499,-0.95832,-0.15485,6.98091,305.39147,0.09539,0.71816,-0.96041,-1.08683,-0.04626,20.05840,0.32029,-2.06056,1.49449,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9084149,-0.130944705672795,0.978465499642111,-0.159558549216144,0.210373155978096,-0.991385157483214,-0.129724673278399,0.0180843101762663,0.829278963114819,-0.00300380443264275,0.160552024315793,0.987022930378765,0.0902969152841042,0,0,0,1,-0.152772660443246,0.904291312963721,0.398645047905982,0.259641695586216,-0.984337832892947,-0.175145665739098,0.0200749821977395,0.789636225383279,0.0879745768901822,-0.389334500326129,0.91688567380412,0.330257761970425,0,0,0,1,-5.59519,-16.43824,339.99218,0.08246,0.92423,-0.95833,2.88022,7.71195,300.51484,0.09697,0.71886,-0.96040,-1.08900,-0.04678,20.05804,0.32063,-2.06201,1.49584,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9184313,-0.130944705672795,0.978465499642111,-0.159558549216144,0.210373155978096,-0.991385157483214,-0.129724673278399,0.0180843101762663,0.829278963114819,-0.00300380443264275,0.160552024315793,0.987022930378765,0.0902969152841042,0,0,0,1,-0.152772660443246,0.904291312963721,0.398645047905982,0.259641695586216,-0.984337832892947,-0.175145665739098,0.0200749821977395,0.789636225383279,0.0879745768901822,-0.389334500326129,0.91688567380412,0.330257761970425,0,0,0,1,-2.55145,-16.06137,339.99505,0.08406,0.92480,-0.95832,0.77683,6.32480,312.09880,0.09744,0.71862,-0.96040,-1.08900,-0.04678,20.05804,0.32063,-2.06201,1.49584,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9284147,-0.131099417293837,0.978456876823478,-0.159484180767849,0.210430732397017,-0.991364830701854,-0.12987154326734,0.0181437370280546,0.829259892779168,-0.00295959264202522,0.160485636388393,0.98703382280283,0.0903110991786502,0,0,0,1,-0.15287787683783,0.904107828133615,0.399020703311026,0.259677877082283,-0.984310621906177,-0.175298733463402,0.0200732176727123,0.789602280128522,0.0880961761806432,-0.389691591940572,0.916722289956309,0.330273191990376,0,0,0,1,-6.21366,-16.11070,336.33337,0.08059,0.92422,-0.95833,2.32673,5.28153,298.04904,0.09135,0.71861,-0.96040,-1.09101,-0.04677,20.05551,0.32102,-2.06397,1.49702,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9384145,-0.13130973595657,0.978439530384355,-0.159417667156616,0.210465872160692,-0.991336645884896,-0.130097277594734,0.0180647360502647,0.829258439559957,-0.00306455034810443,0.160408659372664,0.987046034660315,0.0902958865945556,0,0,0,1,-0.1531346395031,0.903911955589116,0.399365830499492,0.259667889171672,-0.984273071988335,-0.175531802804221,0.0198790727156457,0.789529102116246,0.0880703324696286,-0.39004087254041,0.916576233488265,0.330180300923788,0,0,0,1,-4.99070,-16.16789,344.87778,0.08590,0.92665,-0.95831,1.69247,6.33406,313.31937,0.10104,0.71657,-0.96042,-1.09215,-0.04604,20.05575,0.32088,-2.06570,1.49909,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9484148,-0.131307588708422,0.978435842482568,-0.159442187873332,0.210485254226267,-0.991336586705279,-0.130112260794543,0.0179597023712709,0.829229841991107,-0.00317296336746759,0.160419121261281,0.987044016751951,0.0902899166081432,0,0,0,1,-0.153212831254597,0.903710322274005,0.399792042735183,0.259686681953965,-0.984250802599011,-0.175657615336234,0.0198697202528528,0.78949954961355,0.0881829738546865,-0.390451325095057,0.916390579665135,0.330133551617814,0,0,0,1,-4.99348,-16.07585,335.72297,0.08135,0.92465,-0.95833,1.37321,6.93090,313.93585,0.09577,0.71787,-0.96041,-1.09400,-0.04601,20.05452,0.32124,-2.06785,1.50000,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9584146,-0.131425025454795,0.978431597092934,-0.159371348306592,0.210481739206607,-0.991320641789803,-0.130249348407927,0.0178467951676063,0.829266948498223,-0.00329614407334144,0.160333636111545,0.987057499132056,0.0902640321691999,0,0,0,1,-0.15331233210562,0.903485850217687,0.400260949742888,0.259726565260493,-0.984217301853042,-0.175838923718108,0.0199253327091489,0.789532392747658,0.0883837063772391,-0.39088895920114,0.916184695212428,0.33007129311685,0,0,0,1,-5.00066,-15.77077,335.72604,0.08462,0.92473,-0.95833,1.99385,6.46397,301.11294,0.09516,0.71938,-0.96039,-1.09641,-0.04770,20.05352,0.32196,-2.07017,1.50127,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9684148,-0.131457564019833,0.978430134403473,-0.159353477568696,0.210483979947157,-0.991316324214621,-0.130282865341518,0.017842966025147,0.829241176731579,-0.00330293210605426,0.160315286261963,0.987060411204695,0.0902484194400237,0,0,0,1,-0.153324924534464,0.903294284824568,0.400688224815064,0.259798225434296,-0.984198349960897,-0.175935072427226,0.0200131198535471,0.789544585357732,0.0885728435527079,-0.391288179903207,0.915995962425739,0.33004116596794,0,0,0,1,-4.66518,-17.03912,341.20662,0.08497,0.92347,-0.95834,0.74811,7.54510,312.11107,0.09833,0.71805,-0.96041,-1.09930,-0.04857,20.05197,0.32260,-2.07236,1.50180,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9784147,-0.131643595471955,0.978413313288485,-0.159303053663365,0.210473052240907,-0.991291316220991,-0.130483324866731,0.0177680422817312,0.829299904544792,-0.00340190444075017,0.160254774756547,0.987069898999621,0.0902412324021762,0,0,0,1,-0.15338815336342,0.903102386094475,0.4010964214646,0.259826677009332,-0.984177487135599,-0.176050582625069,0.0200214304089472,0.789533708098109,0.0886946618234573,-0.391679021425606,0.915817103070413,0.330011358781508,0,0,0,1,-5.00029,-15.78304,336.94668,0.08143,0.92491,-0.95832,0.80461,5.13518,309.03491,0.09288,0.71814,-0.96041,-1.10127,-0.04892,20.05044,0.32300,-2.07445,1.50261,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5074.9884147,-0.131684752296581,0.978417267404841,-0.159244951570058,0.210483745217692,-0.991285646834548,-0.130532731223921,0.0177194693073166,0.829364837557394,-0.0034496413998083,0.160190622483407,0.9870801577461,0.0902478166660858,0,0,0,1,-0.153448791972632,0.902913126575784,0.40149904269956,0.259849745718819,-0.984149191447593,-0.176198442439306,0.0201131522985629,0.789504769334487,0.0889039295983586,-0.392048614861759,0.915638695121705,0.330004681852595,0,0,0,1,-4.97875,-16.69827,336.93747,0.08228,0.92330,-0.95834,0.08712,9.68468,310.30164,0.09648,0.71873,-0.96040,-1.10305,-0.04911,20.04839,0.32369,-2.07643,1.50360,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
