Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
4673.4039681,-0.138727243515655,0.975937336140283,-0.168229611319793,0.257729397744311,-0.990141931052818,-0.13336905828846,0.0427975520354402,0.867396558686129,0.0193311056282773,0.17250837950832,0.984818444732958,0.0956781843275751,0,0,0,1,-0.0854543616933048,0.912829261104133,0.399299905346783,0.270186020260578,-0.994289680868123,-0.103840680053675,0.0245991161681447,0.847562429329374,0.0639183682940659,-0.394917675689807,0.916490371039883,0.340930531712858,0,0,0,1,-2.67879,-23.50257,381.42627,0.10364,0.95196,-0.95806,4.22410,15.37649,270.07237,0.09735,0.73026,-0.96028,-1.29136,-1.02024,19.79973,0.29866,-2.12641,0.89080,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4139683,-0.141384466301408,0.975550405008315,-0.16826182992736,0.258262536746211,-0.989766284769765,-0.135984118745556,0.0432553275029334,0.866894244514768,0.0193168191263461,0.172655516334077,0.984792892429087,0.095726654339725,0,0,0,1,-0.086201800832303,0.913095342843431,0.398530182656919,0.270427206758979,-0.994254299125167,-0.104325501832738,0.0239696228698947,0.847185247440573,0.0634634150237987,-0.394174139515003,0.916842038734201,0.340993674982336,0,0,0,1,-2.35272,-24.39221,379.58608,0.11087,0.95191,-0.95806,5.71440,16.91322,272.52889,0.09748,0.72895,-0.96030,-1.29415,-1.01323,19.80233,0.29667,-2.12296,0.89599,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4239684,-0.144120597113304,0.975118582430315,-0.16844326342073,0.258670147796218,-0.989372230599496,-0.13867319484096,0.0437303507292555,0.866356654485569,0.0192837123891439,0.172955525809646,0.984740950943345,0.0957371034751928,0,0,0,1,-0.0873803985991149,0.913811099355351,0.396628448445165,0.270611983033962,-0.994190603377522,-0.105114704097808,0.0231506693543546,0.846801119965253,0.0628468171731675,-0.392301382365781,0.917687320614888,0.341059864581172,0,0,0,1,0.98267,-23.42869,382.64667,0.10582,0.95048,-0.95807,4.20974,15.98664,270.07851,0.09036,0.72432,-0.96034,-1.29217,-1.00713,19.81119,0.29418,-2.11346,0.90430,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4339688,-0.14699008246363,0.974692266510747,-0.168431235204159,0.259147151961835,-0.988948394515336,-0.141481849341322,0.0443169075175445,0.865814730616346,0.0193653867879996,0.173083938037527,0.984716783804751,0.0957619925074995,0,0,0,1,-0.0889536379661524,0.914558448884542,0.394550714690377,0.270778104714103,-0.994082244893955,-0.106313977789827,0.0223117435554085,0.846396563321381,0.0623516434806458,-0.39023114795937,0.918603363744062,0.341065210830813,0,0,0,1,-3.20190,-27.20853,384.44108,0.10866,0.95100,-0.95807,5.44427,15.41135,269.46196,0.07393,0.72740,-0.96031,-1.28933,-1.00235,19.82258,0.29211,-2.10283,0.91616,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4439681,-0.149824249088224,0.974245436865979,-0.168519107170218,0.259579301587975,-0.988523670153748,-0.144271302418772,0.0447970291827114,0.865266500034608,0.0193308292249846,0.173296804028223,0.9846799689247,0.0957583929586665,0,0,0,1,-0.0907248226798102,0.914581215728805,0.3940944025824,0.270844383132756,-0.993941982668956,-0.107807599856131,0.021374585474957,0.845972978909423,0.0620351673638871,-0.389767758062722,0.918821447493924,0.341100853056707,0,0,0,1,-4.48706,-24.48542,383.85847,0.10722,0.95161,-0.95806,5.73557,16.01027,271.29904,0.10756,0.72899,-0.96030,-1.28968,-0.99848,19.82375,0.29072,-2.10063,0.93032,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4539682,-0.152626977760556,0.973859689633518,-0.168233325136341,0.260066902336165,-0.988094108316458,-0.147034774842916,0.0452856988163945,0.864718172871038,0.0193657650290948,0.173142167037376,0.984706495997255,0.0957617426186175,0,0,0,1,-0.0929181481881287,0.914154506289897,0.394573134760692,0.270906291361992,-0.993740849211971,-0.109825765418463,0.0204300557066133,0.84548694605783,0.06201051382381,-0.390205126498685,0.918637479229933,0.341106427160716,0,0,0,1,-4.81295,-23.60192,386.30898,0.11288,0.95179,-0.95806,6.36654,15.13395,268.84851,0.08097,0.72900,-0.96029,-1.29304,-0.99561,19.82029,0.29032,-2.10321,0.94876,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4639682,-0.155327256155045,0.973477834989382,-0.167971678345778,0.260513351809495,-0.987673156885513,-0.149702143491556,0.0457270269182032,0.864145111280819,0.0193685307440935,0.173003773799326,0.984730791793409,0.0957868008735205,0,0,0,1,-0.0954951626189777,0.913518351702904,0.395430193691654,0.2709168722118,-0.993468937439957,-0.112386733581481,0.0197149120190414,0.844927430982203,0.0624510435109738,-0.390964938637799,0.918284543802409,0.341183694148492,0,0,0,1,-3.27406,-24.14549,383.25114,0.10651,0.95152,-0.95806,7.59501,14.82690,271.89696,0.09741,0.73104,-0.96028,-1.29650,-0.99381,19.81281,0.29148,-2.10749,0.97146,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4739681,-0.157962089162912,0.973082277810466,-0.167806577662142,0.260914809379584,-0.987256395036306,-0.15231177837138,0.046107871009353,0.86359324039827,0.0193078343528282,0.172951404163953,0.984741193344852,0.0957660177953066,0,0,0,1,-0.0983871804588872,0.91307423778689,0.39574688595105,0.270973496038289,-0.993154700254862,-0.115250919730315,0.0189994261520128,0.844335689392659,0.0629580772340894,-0.391168560898889,0.918163152835509,0.341226555404328,0,0,0,1,-4.16099,-25.37506,382.01828,0.10866,0.95239,-0.95805,4.85656,14.45108,272.50440,0.08131,0.73058,-0.96028,-1.29926,-0.99258,19.80928,0.29283,-2.10887,0.99684,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4839682,-0.157962089162912,0.973082277810466,-0.167806577662142,0.260914809379584,-0.987256395036306,-0.15231177837138,0.046107871009353,0.86359324039827,0.0193078343528282,0.172951404163953,0.984741193344852,0.0957660177953066,0,0,0,1,-0.0983871804588872,0.91307423778689,0.39574688595105,0.270973496038289,-0.993154700254862,-0.115250919730315,0.0189994261520128,0.844335689392659,0.0629580772340894,-0.391168560898889,0.918163152835509,0.341226555404328,0,0,0,1,-4.21124,-23.23953,382.03977,0.10936,0.95288,-0.95805,7.15315,20.62844,270.73466,0.10347,0.73032,-0.96029,-1.29926,-0.99258,19.80928,0.29283,-2.10887,0.99684,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4673.4939684,-0.16062267034355,0.972682631200715,-0.167597721585837,0.26133182249291,-0.986825083562376,-0.154920966961868,0.0466446952402971,0.863086110427998,0.0194060848725632,0.172881828878454,0.984751477195171,0.095800078663028,0,0,0,1,-0.100970343215254,0.912973779327523,0.395327773921446,0.271027911782824,-0.992864635932498,-0.11780658854786,0.018476916149188,0.843734310731117,0.0634411496005256,-0.390641338307867,0.918354368125953,0.341267036826123,0,0,0,1,-3.31825,-22.27822,379.60763,0.10514,0.94937,-0.95808,7.91446,14.22393,271.89080,0.09034,0.73054,-0.96028,-1.29953,-0.98992,19.81011,0.29403,-2.10632,1.01947,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
