Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
5757.23116,-0.110569903764078,0.982126411812548,-0.152322628887675,0.235156405909577,-0.99386214208562,-0.108718068539908,0.0204587302951416,0.814894796630367,0.00353283750695244,0.153649806418823,0.988119147453624,0.0896648659377159,0,0,0,1,-0.132917934650885,0.956867658181999,0.25833559354108,0.277458267684405,-0.991010679712679,-0.132302981995183,-0.0198448677648884,0.77333209044491,0.0151896537559348,-0.258651090178928,0.965851519232824,0.315903570110396,0,0,0,1,-3.87051,-24.81735,357.60850,0.08265,0.92982,-0.95827,2.57371,20.89422,354.97151,0.08399,0.65933,-0.96099,1.67382,-5.37082,-54.60127,2.43020,-3.35701,4.68206,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.2411603,-0.110412020925555,0.982147308658097,-0.152302264215968,0.235147343146839,-0.993879628804951,-0.108560095256278,0.0204476142573636,0.81492480425921,0.00354861964623512,0.153627773785615,0.988122511562501,0.0896622807778646,0,0,0,1,-0.132744928799633,0.956894386619782,0.258325489551996,0.277431113168916,-0.991034024316726,-0.13213405451623,-0.0198059372529855,0.773343332284599,0.0151814021159909,-0.258638476820691,0.965855006722694,0.316021889609425,0,0,0,1,-3.76543,-29.30758,349.01797,0.10178,0.92997,-0.95828,6.40710,13.65855,354.89759,0.08774,0.66484,-0.96094,1.68350,-5.39247,-54.59515,2.43312,-3.35518,4.67560,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.2511602,-0.110297341708568,0.982140989029155,-0.152426263693811,0.235138047051842,-0.99389222338401,-0.108440003837227,0.0204709722941008,0.814949782374298,0.00357627966722304,0.15375317364741,0.988102926941238,0.089668672300254,0,0,0,1,-0.132653237839247,0.956929100720145,0.258244053867534,0.277385020124671,-0.991047223614314,-0.132031655888653,-0.0198288091056577,0.773390205130883,0.0151216190602541,-0.25856241120663,0.965876305067508,0.316017514966905,0,0,0,1,-3.93512,-22.07166,357.63613,0.09036,0.92847,-0.95829,6.92266,17.68185,350.66521,0.08981,0.66503,-0.96094,1.69804,-5.41287,-54.60708,2.43503,-3.35264,4.67316,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.2611602,-0.110163271040761,0.982154033928538,-0.15243910910898,0.23512915833851,-0.993907191080867,-0.108309587984484,0.0204367300739924,0.814973859188396,0.00356140227434792,0.153761693673785,0.988101662760981,0.0896763763193333,0,0,0,1,-0.132588681266531,0.956999326699509,0.258016890212565,0.277369598223154,-0.991055257739623,-0.131984209880675,-0.0197424866117467,0.773431952993707,0.0151606069458577,-0.258326617051662,0.965938755175087,0.316142962465904,0,0,0,1,-3.18854,-27.85375,357.57776,0.08876,0.93125,-0.95826,6.80928,22.51397,355.59689,0.07388,0.66379,-0.96095,1.70916,-5.42700,-54.61499,2.43725,-3.34643,4.67144,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.2711603,-0.110057260073229,0.982154841254835,-0.152510560096684,0.235107682818347,-0.993919019300505,-0.108207663819604,0.0204006385992766,0.81501345882083,0.00353377485674797,0.153828381845275,0.988091374434995,0.0897045144954385,0,0,0,1,-0.132468486776524,0.957027253755211,0.257974994525277,0.277366582256648,-0.991071117992721,-0.131872805141457,-0.0196910582837033,0.773438008533556,0.0151750003416458,-0.25828000067397,0.965951011899582,0.31617307558004,0,0,0,1,-4.79315,-24.52767,357.00131,0.09791,0.93340,-0.95824,6.24712,20.43772,348.25159,0.08345,0.66072,-0.96098,1.72715,-5.44504,-54.65404,2.44120,-3.34363,4.66943,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.2811602,-0.109978577026399,0.982149775040468,-0.152599800447227,0.235108731523691,-0.993927746003814,-0.108128350913013,0.0203965364507031,0.815048532104645,0.00353209102322358,0.153916357724831,0.988077678597608,0.0896795929669416,0,0,0,1,-0.132397596593668,0.957030181226621,0.258000607392682,0.277404651055823,-0.991080367026519,-0.131807712658009,-0.0196615280716494,0.773448929370692,0.0151897901893279,-0.258302485720207,0.965944790154858,0.316093930474507,0,0,0,1,-3.25334,-25.10193,356.99507,0.08488,0.93156,-0.95826,6.76944,11.23126,354.26269,0.08850,0.66377,-0.96095,1.73161,-5.46202,-54.63999,2.44359,-3.34257,4.66685,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.2911604,-0.109830419948893,0.982157661346535,-0.15265578495723,0.235102083935963,-0.993944201175142,-0.107983744833445,0.0203611002445021,0.815078908302935,0.0035134707663472,0.153967594664625,0.98806975369655,0.0896804422713546,0,0,0,1,-0.132348911537333,0.957056592480291,0.257927626661876,0.277408364533711,-0.991086897884688,-0.131761591659101,-0.0196410326775457,0.773460985434793,0.0151873741536302,-0.258228146279354,0.965964716769388,0.316086865240647,0,0,0,1,-3.24746,-25.36405,352.71975,0.09791,0.93005,-0.95828,6.97235,15.56473,348.81276,0.09760,0.66400,-0.96095,1.73819,-5.47793,-54.64593,2.44590,-3.34037,4.66569,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.3011602,-0.109838306554366,0.982137110072901,-0.152782119077483,0.235087128255282,-0.993943349701626,-0.107989847807039,0.0203701420265681,0.815113312532399,0.00350735528529883,0.154094186058953,0.988050029798905,0.0896847530953946,0,0,0,1,-0.132329504891569,0.957035776173622,0.258014655546215,0.277418016134494,-0.991090500501513,-0.13172337844899,-0.0197140997740425,0.773533586461256,0.0151194595480494,-0.258324649653595,0.965939971369799,0.316040021585176,0,0,0,1,-3.84291,-26.00083,353.93430,0.09015,0.93113,-0.95826,6.60927,18.01657,347.00637,0.08565,0.66408,-0.96095,1.75346,-5.49296,-54.66447,2.44691,-3.34008,4.66574,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.3111607,-0.109844672983042,0.982111530818337,-0.152942131638236,0.234996977786056,-0.993943127566149,-0.108015992530122,0.0202403665719908,0.815091155485687,0.003358103197701,0.154239073185589,0.988027951527566,0.0896399495322961,0,0,0,1,-0.132231455897432,0.95699203208055,0.258227204500406,0.277413935699592,-0.991103685933733,-0.131623256154644,-0.0197216390789174,0.773555399044048,0.015115254158758,-0.258537748271807,0.965882985025769,0.316026090804776,0,0,0,1,-4.14726,-26.03256,356.37560,0.09182,0.92981,-0.95828,10.79961,21.60617,364.13190,0.08680,0.66485,-0.96094,1.81418,-5.46030,-54.63611,2.44351,-3.33122,4.66166,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5757.3211602,-0.109834432617594,0.982113278673869,-0.152938169080553,0.234998308074875,-0.99394411549278,-0.107998057034373,0.020288928615567,0.815101520650174,0.00340900205910244,0.154240413269606,0.988027574576652,0.0896219132984353,0,0,0,1,-0.132162490839779,0.956928560434687,0.25849743939064,0.277416029575789,-0.991112698502552,-0.131554212533609,-0.0197290436160037,0.773579336323407,0.0151271405571781,-0.258807547939949,0.965810563719798,0.316019458407676,0,0,0,1,-3.84953,-25.71417,355.76833,0.09794,0.93113,-0.95827,4.46206,18.48442,356.16747,0.09013,0.66500,-0.96094,1.81347,-5.47150,-54.61837,2.44462,-3.33594,4.65823,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
