Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
5465.3463581,-0.0611885087473851,0.98267069219102,-0.174969757788069,0.19165078152273,-0.998126157066054,-0.0603130855244865,0.0103213617170224,0.852060118355733,-0.000410460073783758,0.175273449806717,0.984519804008605,0.0910232929446042,0,0,0,1,-0.11457362088911,0.962718897881782,0.245041366273925,0.219041403302819,-0.992543219852521,-0.121266215876246,0.0123491637425611,0.809213567535549,0.0416040162244139,-0.241799283810405,0.969434088183831,0.354811462801997,0,0,0,1,-6.08296,-21.65116,341.16068,0.05018,0.96557,-0.95790,-0.24669,10.89781,310.31394,0.07112,0.70485,-0.96053,3.38990,-2.91494,22.83646,-0.28572,-1.74753,1.12685,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.3563582,-0.0612384113618278,0.982638703819134,-0.175131861414146,0.191592727161835,-0.998123092289188,-0.0603725459502463,0.0102722898833262,0.852041116806725,-0.000479207225162259,0.17543222034804,0.984491524773876,0.0910435433058514,0,0,0,1,-0.114623675324847,0.962778827512045,0.244782430372052,0.218925639252779,-0.992534730817635,-0.121327256231131,0.0124330504891162,0.809206923652207,0.0416690590360123,-0.24152992981418,0.969498454440039,0.354915118244773,0,0,0,1,-6.08296,-21.65116,341.16068,0.05018,0.96557,-0.95790,-0.24669,10.89781,310.31394,0.07112,0.70485,-0.96053,3.39020,-2.91208,22.83180,-0.28474,-1.74519,1.12744,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.3663583,-0.0612419983355044,0.982620521674995,-0.175232401797408,0.191512134542739,-0.998122817536335,-0.0603835330057765,0.0102314646461807,0.85202650812075,-0.000527500086162869,0.175530060703787,0.98447402711678,0.0910503996066454,0,0,0,1,-0.114624689727452,0.962847161782281,0.244513043375857,0.218847832671146,-0.992538256962997,-0.121303589556514,0.0123816601652297,0.809202067405409,0.041581959196814,-0.241269307964189,0.969567050651982,0.354976755454588,0,0,0,1,-5.51603,-19.80021,340.56874,0.05251,0.96530,-0.95791,0.35613,11.22338,309.70665,0.06759,0.70064,-0.96057,3.89321,-3.34438,23.24474,-0.36097,-1.82587,1.13333,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.3763584,-0.0612323040167078,0.982610814326468,-0.175290422528651,0.191468586636468,-0.998123444342065,-0.0603689737883689,0.0102581187843075,0.852030912673567,-0.000502359584708789,0.175589610422817,0.984463462210088,0.091072629867363,0,0,0,1,-0.114713337162584,0.962890832286159,0.244299368988681,0.218838451757833,-0.992526294958482,-0.121396751210755,0.0124268294634937,0.809205996470955,0.0416228240969909,-0.241048040743919,0.969620325383147,0.354932097248861,0,0,0,1,-6.72755,-20.18923,346.05864,0.04936,0.96491,-0.95791,0.67558,10.62041,309.70049,0.07119,0.69866,-0.96059,3.37233,-2.89369,22.81605,-0.28142,-1.73875,1.12793,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.386358,-0.061235990042113,0.982599327499077,-0.175353455189658,0.191392418010807,-0.998123227615564,-0.060376360792998,0.0102377325097606,0.852017112864704,-0.000527614613189731,0.175651275299543,0.984452430655278,0.0910798986363326,0,0,0,1,-0.11473386982405,0.962918608735149,0.244180258155567,0.218768394744807,-0.992524828792121,-0.121409801033018,0.0124153030355251,0.80920761059099,0.0416007985575845,-0.240930533953959,0.969650468082503,0.354961372006975,0,0,0,1,-6.14206,-19.15532,335.69235,0.05014,0.96509,-0.95791,0.66215,11.19987,312.75823,0.07240,0.70041,-0.96058,4.25880,-3.65847,23.54646,-0.41585,-1.88330,1.13873,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.3963582,-0.0612590115892495,0.98259240164545,-0.175384205017523,0.191247410470568,-0.998121827107303,-0.0603919313095818,0.0102817740259559,0.8520265266456,-0.000488993078505362,0.175684668620633,0.984446478798922,0.0910632092247439,0,0,0,1,-0.114767116278693,0.962946017540529,0.244056531544694,0.218823226001999,-0.992526830348843,-0.121406734184709,0.0122870607496922,0.809269027047295,0.0414618779284148,-0.240822502786493,0.969683265538572,0.355034270947575,0,0,0,1,-6.18971,-17.10570,344.25833,0.05384,0.96565,-0.95790,-2.63679,8.69257,311.51326,0.07837,0.70292,-0.96055,5.16964,-4.44869,24.29837,-0.55487,-2.03272,1.14969,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.4063581,-0.0612495658549518,0.982577480047142,-0.175471124553213,0.19114368035337,-0.998122398419709,-0.0603860363770524,0.0102612864120852,0.852029786651054,-0.000513492872786681,0.175770150262111,0.984431237081688,0.0910662928905188,0,0,0,1,-0.114712906097012,0.962960281128655,0.244025680625826,0.218599862420223,-0.992528282244235,-0.121381688122663,0.0124166756548684,0.809131840418738,0.0415770136402535,-0.240778033075237,0.969689373387986,0.354990885592623,0,0,0,1,-7.06247,-18.93929,342.40901,0.04874,0.96645,-0.95790,0.37823,10.28974,311.52840,0.07505,0.69432,-0.96064,5.12912,-4.40431,24.26113,-0.54736,-2.02431,1.14907,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.4163582,-0.0611902850271694,0.982576486687722,-0.175497241762289,0.191068068002581,-0.998126022935927,-0.0603300120117999,0.0102378037229707,0.85201261788122,-0.000528323568467548,0.175794822446408,0.984426805859822,0.0910712605512176,0,0,0,1,-0.114795958285052,0.962979563262865,0.243910647371892,0.218516581555924,-0.992518983326677,-0.121458909892149,0.0124033449106157,0.809150645971335,0.0415692920364683,-0.240662112715134,0.969718501659881,0.355002122308067,0,0,0,1,-6.09088,-21.32154,338.72247,0.04822,0.96342,-0.95793,-0.84895,10.55383,312.75219,0.07504,0.70047,-0.96058,4.78965,-4.10939,23.97872,-0.49530,-1.96725,1.14581,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.4263583,-0.0611902850271694,0.982576486687722,-0.175497241762289,0.191068068002581,-0.998126022935927,-0.0603300120117999,0.0102378037229707,0.85201261788122,-0.000528323568467548,0.175794822446408,0.984426805859822,0.0910712605512176,0,0,0,1,-0.114795958285052,0.962979563262865,0.243910647371892,0.218516581555924,-0.992518983326677,-0.121458909892149,0.0124033449106157,0.809150645971335,0.0415692920364683,-0.240662112715134,0.969718501659881,0.355002122308067,0,0,0,1,-4.90529,-19.80426,342.39966,0.05196,0.96599,-0.95790,1.59160,10.61740,312.14171,0.07496,0.70107,-0.96057,3.38816,-2.89800,22.82122,-0.28236,-1.73705,1.12891,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5465.4363582,-0.0612348311894741,0.982558253983337,-0.175583809038083,0.191036765301934,-0.998123304667439,-0.0603639204452731,0.0103015299220484,0.851993087615952,-0.000477072909166765,0.175885101752529,0.984410673866266,0.0910847197405171,0,0,0,1,-0.114798521623882,0.963026183067746,0.24372517994199,0.21852419303196,-0.99251898405431,-0.121457338289708,0.0124194600204797,0.809209468909615,0.0415624694073952,-0.240476158575568,0.969764934094907,0.355040454850955,0,0,0,1,-6.43224,-19.79107,337.51720,0.04801,0.96384,-0.95792,0.37730,10.32042,308.47680,0.07095,0.70223,-0.96056,4.10835,-3.52179,23.41556,-0.39157,-1.85424,1.13752,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
