Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
5176.7714616,-0.123427275823362,0.975840101425475,-0.180283021233783,0.248217382777798,-0.992201137630383,-0.118169297616682,0.0396615929945595,0.857243722406117,0.0173994530378634,0.183772339034554,0.982814929463242,0.0970364428668944,0,0,0,1,-0.147471721535269,0.949053356358183,0.278478044271882,0.270739762698982,-0.989049108172891,-0.143163091807639,-0.0358640965455138,0.820886387188632,0.0058308376268851,-0.280717413383423,0.959772878066333,0.342717271037216,0,0,0,1,-10.15627,-17.18676,343.03796,0.10380,0.94404,-0.95814,4.93708,11.11190,301.15878,0.10260,0.75211,-0.96007,-0.96977,-0.51016,20.36879,0.07263,-1.52840,1.31416,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.7814617,-0.123264036520584,0.975861791216401,-0.180277253665135,0.24818557078675,-0.992220099447013,-0.117995820417896,0.0397023664742679,0.857562768696757,0.0174720619673621,0.18376859692405,0.982814356405875,0.0970277249642197,0,0,0,1,-0.147525465827456,0.94908105220255,0.278355084449394,0.270689993867198,-0.989032156304305,-0.143605019640594,-0.0345407783046457,0.821139330346303,0.00719118587531992,-0.280397777904766,0.959857094055516,0.342770880024756,0,0,0,1,-7.97001,-19.28431,344.23697,0.10297,0.94554,-0.95812,6.78972,10.22134,302.98041,0.10354,0.75240,-0.96006,-0.96787,-0.51925,20.36888,0.07758,-1.52671,1.31667,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.7914621,-0.123068049579885,0.975896020126412,-0.180225865753914,0.248150631324694,-0.992242793433369,-0.117788195116314,0.039752005039674,0.857896477080333,0.0175653437855478,0.183720029524272,0.98282178960781,0.0970216547682115,0,0,0,1,-0.147566886854898,0.949046627518765,0.278450527377296,0.270621622164945,-0.989014488747286,-0.144049039547523,-0.0331711067978814,0.821397102846471,0.00862960346929817,-0.280286552377018,0.959877708042776,0.342781428442533,0,0,0,1,-7.66454,-19.28940,345.45759,0.10061,0.94487,-0.95813,4.63310,11.06791,304.82072,0.10002,0.74987,-0.96009,-0.96618,-0.52857,20.36895,0.08281,-1.52605,1.31914,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.8014618,-0.122788879428795,0.975934272865706,-0.180209076075783,0.248108190258911,-0.992276400925676,-0.117504396495682,0.0397534010570997,0.858234229293622,0.0176213503549419,0.183698494850655,0.982824806546632,0.0970176507789324,0,0,0,1,-0.147453963443404,0.949035445731837,0.278548501901358,0.270583489620407,-0.989017653698486,-0.144346936469481,-0.0317510517188764,0.821684197255829,0.0100747421678664,-0.280171197408907,0.959897322172132,0.342828536174431,0,0,0,1,-6.74246,-19.56067,344.23381,0.10933,0.94649,-0.95811,4.32820,11.05459,305.43106,0.09732,0.75090,-0.96008,-0.96505,-0.53796,20.36820,0.08808,-1.52543,1.32031,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.8114618,-0.122440726090807,0.975960923143502,-0.180301737794025,0.248084096376937,-0.992317173675408,-0.117135501839642,0.039824052221259,0.858622274621063,0.0177469824605925,0.183792585366652,0.982804912759094,0.0970472783079865,0,0,0,1,-0.147426107036649,0.949053407144752,0.278502028360895,0.270564939652324,-0.989007451080805,-0.144696093060622,-0.0304528953374457,0.821926895124641,0.0113967269299723,-0.279930143307091,0.95995284382515,0.342821592784903,0,0,0,1,-6.77743,-18.06597,347.30077,0.10616,0.94501,-0.95813,3.41973,10.74025,304.20741,0.09633,0.75230,-0.96006,-0.96403,-0.54641,20.36948,0.09286,-1.52414,1.32201,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.8214623,-0.122440726090807,0.975960923143502,-0.180301737794025,0.248084096376937,-0.992317173675408,-0.117135501839642,0.039824052221259,0.858622274621063,0.0177469824605925,0.183792585366652,0.982804912759094,0.0970472783079865,0,0,0,1,-0.147426107036649,0.949053407144752,0.278502028360895,0.270564939652324,-0.989007451080805,-0.144696093060622,-0.0304528953374457,0.821926895124641,0.0113967269299723,-0.279930143307091,0.95995284382515,0.342821592784903,0,0,0,1,-7.95546,-19.90060,344.84115,0.10459,0.94434,-0.95813,4.34862,10.17618,301.75993,0.08443,0.75096,-0.96007,-0.96403,-0.54641,20.36948,0.09286,-1.52414,1.32201,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.8314617,-0.122094631499462,0.97598878118924,-0.180385776670366,0.248082654584422,-0.992358955683928,-0.116783036724686,0.0398188247301733,0.858940968523723,0.0177967303202469,0.183869104393207,0.982789736005285,0.0970724603058377,0,0,0,1,-0.147271556463573,0.949137839873575,0.278295970798244,0.270513703261171,-0.989013670493854,-0.144943852891177,-0.0290405156869034,0.822205455880284,0.0127738340584525,-0.27951536011699,0.960056367617458,0.342884483012223,0,0,0,1,-6.47914,-17.76599,348.52446,0.10461,0.94357,-0.95814,3.42468,10.50881,296.88050,0.09981,0.74914,-0.96010,-0.96173,-0.55533,20.36994,0.09787,-1.52194,1.32277,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.8414618,-0.121727994217343,0.976022048574339,-0.180453460637589,0.248037859300022,-0.992401611447403,-0.116395942028396,0.0398886063820823,0.859292075065301,0.0179281088558132,0.183937861622708,0.982774487516385,0.0970807729019516,0,0,0,1,-0.147118719454074,0.949200642252315,0.278162463852008,0.270456851127372,-0.989019466606053,-0.145154109227492,-0.0277638746615447,0.82250098350469,0.0140229356488129,-0.279192689601321,0.960132828117247,0.342887336000752,0,0,0,1,-6.71263,-20.81779,347.88346,0.10531,0.94744,-0.95810,3.44770,9.54449,301.75385,0.10159,0.75713,-0.96002,-0.95959,-0.56432,20.37147,0.10247,-1.52017,1.32331,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.8514617,-0.121281293770386,0.976065530860297,-0.180518977161951,0.248002144708869,-0.992451566855113,-0.115906371765536,0.0400709812447548,0.859646240107212,0.0181886041681331,0.184016198800091,0.982755014154559,0.0970567771902595,0,0,0,1,-0.146880326351042,0.949234230793643,0.27817385301344,0.270447243910414,-0.98903384798107,-0.145324041079342,-0.0263253857155142,0.822831857186059,0.0154363908554535,-0.278990035385463,0.960170036456066,0.34295371465057,0,0,0,1,-7.03152,-20.23323,349.72058,0.10619,0.94275,-0.95815,4.04297,10.18741,299.92899,0.09902,0.74767,-0.96011,-0.95875,-0.57414,20.37077,0.10766,-1.51916,1.32337,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5176.8614617,-0.120995505136936,0.976088303541314,-0.180587740258331,0.247973265432016,-0.992482514024762,-0.115583132088586,0.0402383488554279,0.859985380604364,0.0184032848723877,0.184098840580933,0.982735520135602,0.0970368231891332,0,0,0,1,-0.146562056876929,0.949239389870917,0.278324154866549,0.270402398528836,-0.989060492748449,-0.14537205466067,-0.0250278212366378,0.823131797684557,0.0167031555517597,-0.278947556172786,0.960161192593706,0.342967994635392,0,0,0,1,-6.67525,-22.39226,352.75068,0.10300,0.94521,-0.95813,4.05015,9.88233,299.92592,0.10164,0.75292,-0.96006,-0.95759,-0.58262,20.37060,0.11231,-1.51887,1.32249,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
