Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
3881.7699328,-0.192237610965634,0.972822122697158,-0.129081404103286,0.220947610188444,-0.981052876916234,-0.187282122241701,0.0496048434735457,0.820789622717581,0.0240820529855493,0.136171601138759,0.990392604325798,0.0905748774048001,0,0,0,1,-0.156734492017813,0.956617531533662,0.245595822167795,0.260842524658056,-0.987323334221157,-0.158066484415305,-0.0144074661975442,0.790624242710941,0.0250380429958877,-0.244740624337078,0.969265358427834,0.315768146685054,0,0,0,1,-2.75281,-33.45278,338.59948,0.08525,0.97456,-0.95782,3.82725,19.55536,369.60684,0.08167,0.67684,-0.96082,7.13125,-8.97596,-54.31289,2.89557,-2.51323,5.57844,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.7799327,-0.191859980548086,0.972891557689941,-0.129119979982136,0.220922298351442,-0.981124729751081,-0.186894990429344,0.0496437616070747,0.820764161452211,0.0241661212205128,0.13620746181579,0.990385635771126,0.0905818876298452,0,0,0,1,-0.156581984058023,0.95676658062118,0.245112198147899,0.260843301216852,-0.987344694845645,-0.157953862559507,-0.014178801356715,0.790648694808087,0.0251506190564068,-0.244230375794534,0.969391140852556,0.315752930190252,0,0,0,1,-2.13582,-33.73122,337.37573,0.08503,0.98099,-0.95776,1.54576,12.74330,373.81172,0.07905,0.67675,-0.96082,7.13696,-8.97902,-54.32605,2.89721,-2.50274,5.57565,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.7899328,-0.191611448123179,0.97295041346696,-0.129045367470189,0.220863995836145,-0.981172137229977,-0.186646352991064,0.0496425001379287,0.820785917028266,0.0242138448648435,0.136127794551486,0.99039543072096,0.0905723052316758,0,0,0,1,-0.156518093350063,0.956731519713718,0.245289630241626,0.260927786623401,-0.98735318935782,-0.157905282241089,-0.0141287108816566,0.790680398689326,0.0252151479569446,-0.244398901112018,0.96934698728265,0.315791229227289,0,0,0,1,-0.90184,-34.28811,334.92822,0.08495,0.97896,-0.95778,4.26268,14.03435,373.21349,0.08268,0.67680,-0.96082,7.15494,-8.98794,-54.33001,2.89993,-2.50094,5.57345,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.7999326,-0.191317257365065,0.973014621944932,-0.12899759834922,0.220842517211298,-0.981225494967025,-0.186335091107786,0.0497572838952923,0.820772639901255,0.0243777898556515,0.136095152752449,0.990395907266344,0.0905778596813398,0,0,0,1,-0.156244937610106,0.956681478764931,0.245658689248852,0.260928155016073,-0.987395835937746,-0.157641106782372,-0.0140977825746644,0.790701423424715,0.0252388191707692,-0.244765064713866,0.969253945611084,0.315771827686653,0,0,0,1,-1.90933,-30.38048,338.63011,0.08515,0.97888,-0.95778,5.16211,14.71513,368.33701,0.08449,0.67958,-0.96079,7.15342,-9.00439,-54.33864,2.90246,-2.50832,5.56469,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.8099327,-0.190942542537529,0.973090309738813,-0.128981757666269,0.220863423637577,-0.981295519993424,-0.185948770950766,0.049821532283951,0.82077147681382,0.0244968544023077,0.136082272928411,0.990394701188319,0.0905619162704834,0,0,0,1,-0.156015910535517,0.956699746275654,0.245733068250588,0.260936976424696,-0.987427800077719,-0.157458838601736,-0.0138914465630443,0.790720563683806,0.0254029015673649,-0.24481097708805,0.96923805815812,0.315779435671205,0,0,0,1,-0.57280,-35.27593,342.85316,0.09496,0.97986,-0.95777,3.22406,19.24206,368.99349,0.07715,0.67670,-0.96082,7.13711,-9.02741,-54.32025,2.90660,-2.51145,5.55680,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.8199329,-0.190563021595719,0.973153648753671,-0.129065123770527,0.220795919616565,-0.98136624303928,-0.185552289831119,0.0499064269453358,0.820705968291571,0.0246182939557154,0.136170481275723,0.990379569916916,0.0905457304558868,0,0,0,1,-0.156181906719803,0.956643097022368,0.245848165158277,0.260923754455864,-0.987398237748323,-0.157649944145197,-0.0138255173964451,0.790707167745597,0.0255318648666991,-0.244909351563638,0.969209849496647,0.315773782343073,0,0,0,1,0.37063,-36.45629,341.00986,0.08769,0.97906,-0.95778,0.99510,23.15779,369.03354,0.08165,0.67556,-0.96083,7.17127,-9.01242,-54.31763,2.90762,-2.50722,5.56275,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.8299327,-0.190050571130871,0.973242567990751,-0.129150381708635,0.220739832685201,-0.98146383883209,-0.185031271754962,0.0499216807883913,0.820664665640973,0.024689047839446,0.136244072621987,0.990367689642732,0.0905416833736765,0,0,0,1,-0.156113530552634,0.956489990005898,0.246486647669405,0.260924025929301,-0.987406166833626,-0.157602511488417,-0.0138028003448797,0.790710957521842,0.0256446760925859,-0.245537231562437,0.969047959570063,0.315762398503239,0,0,0,1,-3.66734,-33.49886,341.04082,0.08287,0.97841,-0.95779,4.82093,16.23947,367.74205,0.08291,0.68126,-0.96077,7.19615,-9.00646,-54.32584,2.90960,-2.51448,5.56070,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.8399328,-0.189816593161925,0.973288968307536,-0.129144726522111,0.220685548264747,-0.981506812978263,-0.184787572213925,0.0499791567364095,0.820618491035228,0.0247798240946683,0.136243307669282,0.99036552113864,0.0905355986758638,0,0,0,1,-0.156105015508643,0.956476039597504,0.24654615562542,0.260930380761332,-0.987407384862482,-0.157594652512257,-0.0138055462094151,0.790722101864607,0.0256496751644223,-0.245596624219101,0.969032771153282,0.315737874769763,0,0,0,1,0.28449,-32.79538,341.04669,0.08286,0.97895,-0.95778,2.70720,15.26171,368.95363,0.08012,0.67727,-0.96081,7.21312,-8.99348,-54.32659,2.90839,-2.51211,5.56060,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.8499328,-0.189721970988267,0.973320403735922,-0.129046770607489,0.220634490686699,-0.981521645759542,-0.184680104604183,0.0500846564945331,0.820630792525612,0.0249160485386383,0.136164356804632,0.990372968465743,0.0905057360238515,0,0,0,1,-0.15604995949351,0.956471629912648,0.24659803549054,0.260937277597272,-0.987413011808728,-0.157570056974857,-0.0136839711302823,0.790721191304979,0.0257681339938015,-0.245629509787928,0.969021337952517,0.315733165832566,0,0,0,1,-3.63956,-34.68849,337.97694,0.08511,0.97912,-0.95778,7.53123,17.81719,368.97786,0.08231,0.67906,-0.96079,7.23095,-9.01179,-54.30025,2.91268,-2.50893,5.55801,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3881.8599327,-0.189560371558431,0.9733607229866,-0.128980187848304,0.220598837332768,-0.981550155700243,-0.184508939736162,0.0501567327942812,0.820582224539487,0.0250225982063438,0.136108256006659,0.990378008280988,0.090494460845324,0,0,0,1,-0.155976707913038,0.95643369925132,0.246791351840632,0.260897658709226,-0.987424774368271,-0.15749428038577,-0.013705439563969,0.790732626435851,0.025759884654676,-0.245825632741007,0.968971820319282,0.31576623168206,0,0,0,1,-0.60944,-33.72601,340.42723,0.08525,0.97871,-0.95778,5.10523,17.13733,370.19252,0.08545,0.67597,-0.96083,7.23826,-9.00467,-54.28263,2.91139,-2.51102,5.55426,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
