Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
1344.1249722,-0.103478965381288,0.984892855494324,-0.138846493786229,0.226388054752697,-0.991687710700242,-0.112894944011558,-0.0617276206205646,0.848699485626132,-0.0764701568107882,0.131304840647459,0.988388377846104,0.094327907733968,0,0,0,1,-0.0923535789536882,0.86580724497879,0.491781298627441,0.263529001884089,-0.994842408786923,-0.101037861603596,-0.00894284901186326,0.808245329347961,0.0419457333079221,-0.490070780738591,0.870672938921324,0.313139192085104,0,0,0,1,-3.31295,-22.72533,302.69495,0.06879,0.96618,-0.95790,6.33945,16.43666,321.35451,0.07842,0.70499,-0.96053,-12.68292,-10.95594,26.97629,0.41694,-2.45802,1.46485,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.1349726,-0.103313251943323,0.984900999654014,-0.138912051158979,0.226360811110601,-0.991702971927265,-0.112738598602031,-0.0617682721823059,0.848741678691999,-0.0764963780022758,0.131378000998737,0.988376634852119,0.0942778384155227,0,0,0,1,-0.0923365378947451,0.865851790291801,0.491706009846662,0.26353531792483,-0.994848565605579,-0.100970544895279,-0.00902019043822611,0.808239452455544,0.0418376746298716,-0.490005930091511,0.87071465972157,0.31313485454051,0,0,0,1,-2.99164,-23.38966,308.79199,0.07216,0.96566,-0.95791,9.12191,14.95135,323.78026,0.08055,0.69648,-0.96062,-12.80810,-11.07663,27.05620,0.41877,-2.45582,1.47076,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.1449725,-0.10320942312108,0.984900069192663,-0.13899611068124,0.226344494005928,-0.991712911491553,-0.112642627011307,-0.0617833207544085,0.848735368907086,-0.0765072743618198,0.131467608470266,0.988363850586118,0.0942668838549141,0,0,0,1,-0.0922934659680347,0.865860992981867,0.491697934430332,0.263547191475446,-0.994855718029535,-0.100896074247737,-0.00906384417925077,0.808228709616331,0.0417623644076311,-0.490005005654998,0.870718800609935,0.31312521351118,0,0,0,1,-1.71366,-25.80769,309.37767,0.07472,0.97258,-0.95784,2.68627,16.02089,323.79297,0.08112,0.70866,-0.96050,-11.57913,-9.88257,26.28458,0.39208,-2.46978,1.40657,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.1549723,-0.103099422961065,0.984904766740017,-0.139044381649515,0.226393202164457,-0.991716238971308,-0.11255077934604,-0.0618971669153008,0.848770322816878,-0.0766123588579754,0.131511005787104,0.988349960640935,0.0942974885067003,0,0,0,1,-0.092286327618479,0.865860996441579,0.491699291706602,0.263555705988751,-0.994858731386573,-0.100862627763301,-0.00910878544516214,0.808216952351999,0.0417071300380776,-0.490011929351705,0.87071753780914,0.313115135790404,0,0,0,1,-0.80705,-25.43198,304.49812,0.07260,0.96645,-0.95790,7.53110,17.68569,321.36670,0.08103,0.70334,-0.96055,-12.96521,-11.16644,27.15641,0.42119,-2.45386,1.47651,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.1649724,-0.102952558353518,0.984922932048174,-0.139024553925127,0.226430194592118,-0.991730256829509,-0.112406419595364,-0.0619353411705297,0.848773794505739,-0.0766287812565722,0.131498449099594,0.988350372755871,0.0942973394766189,0,0,0,1,-0.0923680439564027,0.865767905636859,0.491847844618163,0.263579657594657,-0.994849194126428,-0.100954587769376,-0.00912680003716693,0.808208394161083,0.0417525915261061,-0.490157441247131,0.87063341974819,0.31315076763868,0,0,0,1,-1.72121,-25.49034,308.16010,0.07384,0.96742,-0.95789,7.27663,15.53070,322.56588,0.07517,0.70346,-0.96055,-13.26611,-10.53087,27.35600,0.42886,-2.45195,1.47626,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.1749725,-0.102922276502824,0.984933269739596,-0.138973469431129,0.226440991507081,-0.991733923534334,-0.112372327554859,-0.0619383469585997,0.848780062553064,-0.076621902625882,0.131449864899525,0.988357314550014,0.0943151313207078,0,0,0,1,-0.0924487748541967,0.86572990565476,0.491899574018931,0.263597713328742,-0.99484252433906,-0.101015119067495,-0.00918910674281292,0.808188038864077,0.0417339922299067,-0.490212103040613,0.870603589987557,0.313144598724726,0,0,0,1,-1.42385,-25.15968,306.33219,0.07185,0.96810,-0.95789,6.36854,15.20409,322.56287,0.08197,0.70390,-0.96055,-13.17439,-10.16229,27.30196,0.42713,-2.45342,1.46726,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.1849726,-0.102922276502824,0.984933269739596,-0.138973469431129,0.226440991507081,-0.991733923534334,-0.112372327554859,-0.0619383469585997,0.848780062553064,-0.076621902625882,0.131449864899525,0.988357314550014,0.0943151313207078,0,0,0,1,-0.0924487748541967,0.86572990565476,0.491899574018931,0.263597713328742,-0.99484252433906,-0.101015119067495,-0.00918910674281292,0.808188038864077,0.0417339922299067,-0.490212103040613,0.870603589987557,0.313144598724726,0,0,0,1,-0.22391,-24.25255,310.00324,0.07313,0.96727,-0.95789,5.28871,22.18089,324.46450,0.08457,0.70815,-0.96050,-13.34036,-11.58802,27.38573,0.43001,-2.45161,1.49840,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.1949721,-0.102848571617304,0.984937932192131,-0.138995158775921,0.226525840009916,-0.991738803463859,-0.112305499206091,-0.0619810268773908,0.848660546507901,-0.076657373690775,0.131472230479458,0.988351610047999,0.0943653504218387,0,0,0,1,-0.0925237439060606,0.865712386390973,0.491916208955578,0.26363351940343,-0.994837852512502,-0.101052918060358,-0.00927659020375771,0.808145788040868,0.04167869866798,-0.490235175256917,0.870593258096521,0.313178037742271,0,0,0,1,-3.56574,-24.93554,309.38701,0.07397,0.96665,-0.95790,5.76330,14.95829,315.23599,0.08133,0.70378,-0.96055,-13.10406,-9.89928,27.25851,0.42549,-2.45453,1.46065,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.2049726,-0.102813602307737,0.98495318127554,-0.138912994826159,0.226558365637464,-0.991741602900325,-0.112267219588159,-0.0620062685645335,0.848632151445789,-0.0766686423194665,0.131390695594716,0.988361595876071,0.094360713600204,0,0,0,1,-0.092557540520095,0.865701746987187,0.491928608621067,0.263666255519981,-0.994833308709368,-0.101098653220203,-0.00926557015002327,0.80814482329124,0.0417120977024024,-0.490244522828027,0.870586368861955,0.313213394476926,0,0,0,1,-2.04746,-24.59457,309.38997,0.07396,0.96724,-0.95789,5.58699,22.48087,325.68819,0.07974,0.70208,-0.96056,-12.97434,-11.22960,27.15115,0.42229,-2.45643,1.48039,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1344.2149722,-0.102787179640043,0.984963731389294,-0.138857571652309,0.226590847764006,-0.991745720472386,-0.112235200855821,-0.0619980196060599,0.848599213022275,-0.0766504992416209,0.131338790354473,0.988369888921317,0.0943601784593429,0,0,0,1,-0.0927164278095002,0.865654675072739,0.491981552988432,0.263652310322599,-0.99481959973967,-0.101223677956438,-0.00937295833938601,0.808070982898808,0.0416864220086706,-0.490301913915834,0.870555268887084,0.313205686100303,0,0,0,1,-2.65065,-24.90786,308.77662,0.06949,0.96589,-0.95791,6.34737,16.10704,323.79272,0.08026,0.70892,-0.96049,-12.36239,-10.63466,26.76682,0.40931,-2.46365,1.45042,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
