Timestamp,CoM_m00,CoM_m01,CoM_m02,CoM_m03,CoM_m10,CoM_m11,CoM_m12,CoM_m13,CoM_m20,CoM_m21,CoM_m22,CoM_m23,CoM_m30,CoM_m31,CoM_m32,CoM_m33,EE_m00,EE_m01,EE_m02,EE_m03,EE_m10,EE_m11,EE_m12,EE_m13,EE_m20,EE_m21,EE_m22,EE_m23,EE_m30,EE_m31,EE_m32,EE_m33,FP1_Fx,FP1_Fy,FP1_Fz,FP1_CoPx,FP1_CoPy,FP1_CoPz,FP2_Fx,FP2_Fy,FP2_Fz,FP2_CoPx,FP2_CoPy,FP2_CoPz,Goal_Fx,Goal_Fy,Goal_Fz,Goal_Tx,Goal_Ty,Goal_Tz,Goal_Px,Goal_Py,Goal_Pz,Goal_Ex,Goal_Ey,Goal_Ez,Goal_Vx,Goal_Vy,Goal_Vz,Goal_Wx,Goal_Wy,Goal_Wz
1188.6241737,-0.0995743587594801,0.984333955270432,-0.145505165088068,0.238385309986475,-0.98929361501652,-0.113615730378479,-0.091595227703417,0.860067405536645,-0.106691958122505,0.134826792865288,0.985108476839777,0.0971016702706164,0,0,0,1,-0.115472154476953,0.940469889523055,0.319660182653618,0.278380382934457,-0.991911978314798,-0.126247670978293,0.0131200681391702,0.820170870060571,0.0526953873746959,-0.31555976965462,0.947441476300354,0.333227512743119,0,0,0,1,-4.23874,-22.33133,291.71231,0.11956,0.99293,-0.95765,2.19492,11.06220,360.36621,0.11728,0.72041,-0.96039,-1.23053,-0.48754,20.43482,0.22445,-1.71190,1.10734,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.6341739,-0.0995375193157211,0.98437679602587,-0.145240029326533,0.238568629750465,-0.989315909268064,-0.113531166902648,-0.0914585350794289,0.860159679310383,-0.1065189350581,0.134584717688996,0.985160280671316,0.097079516716472,0,0,0,1,-0.115728477636759,0.940091367109184,0.320679263281332,0.278668577154276,-0.991848783339256,-0.126703668448478,0.0134960960208572,0.820419441101709,0.0533188085298617,-0.316503452800482,0.947091782119377,0.33316796727039,0,0,0,1,-4.52193,-23.26601,292.92376,0.11669,0.99257,-0.95765,2.26936,20.86249,357.41281,0.11421,0.72336,-0.96036,-1.23966,-0.49563,20.43112,0.22684,-1.71732,1.11061,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.6441738,-0.0995748319195895,0.984404977625368,-0.145023468983604,0.238747280333983,-0.989338611221642,-0.113514454756574,-0.0912334923574812,0.860232395416344,-0.106272958119524,0.13439276033068,0.985213052628101,0.0970690567530064,0,0,0,1,-0.115943685240496,0.939725121074107,0.321673545568958,0.278901473874799,-0.991797260907946,-0.127078411325162,0.0137599276208906,0.820605343899571,0.0538083156126068,-0.317439575877158,0.946750707803447,0.333105958241074,0,0,0,1,-6.41653,-20.58182,294.78247,0.11844,0.99357,-0.95764,1.47501,15.69148,353.69877,0.09408,0.72213,-0.96037,-1.24757,-0.50184,20.42754,0.22871,-1.72259,1.11331,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.6541738,-0.0996481663092793,0.984427186665033,-0.1448222893651,0.238968527848916,-0.989354400129239,-0.113538869288043,-0.0910317536339819,0.860295753580248,-0.10605708661236,0.134209428808918,0.985261319516279,0.0970935354340936,0,0,0,1,-0.116152760077733,0.939520261288562,0.322196077165184,0.279101684943878,-0.99174070198083,-0.127472527956789,0.014182790003623,0.820836104455066,0.0543961634319453,-0.31788759654708,0.94656680850107,0.332955941144258,0,0,0,1,-5.47916,-21.49391,296.60416,0.11741,0.99418,-0.95764,2.62396,18.75869,354.95002,0.10956,0.72498,-0.96034,-1.25336,-0.50927,20.42880,0.23095,-1.72517,1.11603,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.6641739,-0.0996481663092793,0.984427186665033,-0.1448222893651,0.238968527848916,-0.989354400129239,-0.113538869288043,-0.0910317536339819,0.860295753580248,-0.10605708661236,0.134209428808918,0.985261319516279,0.0970935354340936,0,0,0,1,-0.116152760077733,0.939520261288562,0.322196077165184,0.279101684943878,-0.99174070198083,-0.127472527956789,0.014182790003623,0.820836104455066,0.0543961634319453,-0.31788759654708,0.94656680850107,0.332955941144258,0,0,0,1,-4.89051,-20.56433,296.61333,0.11926,0.99392,-0.95764,3.05772,13.29291,353.06379,0.09250,0.72213,-0.96036,-1.25336,-0.50927,20.42880,0.23095,-1.72517,1.11603,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.6741737,-0.0997886009086714,0.984456139809812,-0.14452840879906,0.239182766662513,-0.989356392989859,-0.113629876914953,-0.090896797136985,0.860392607369122,-0.105906643891221,0.133919642106131,0.985316952643049,0.0971043202317745,0,0,0,1,-0.116161509990948,0.93940495626304,0.322528974185225,0.27933086193716,-0.991706007075138,-0.127681555678962,0.0147169664850408,0.820996793583999,0.0550061960284272,-0.318144387179133,0.946445222779748,0.33287783435426,0,0,0,1,-7.61498,-21.53803,295.99399,0.11843,0.99142,-0.95767,1.15612,16.27605,355.53589,0.11055,0.71568,-0.96044,-1.25909,-0.51442,20.42937,0.23314,-1.72684,1.11709,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.6841739,-0.0996300089154704,0.984487062866016,-0.14442726035482,0.239298391248382,-0.98939990115247,-0.113429237311627,-0.0906736459860301,0.860543995446089,-0.105649305266556,0.133862500592742,0.9853523451945,0.0970402829747563,0,0,0,1,-0.116188030052652,0.939177539694789,0.323180982050425,0.279580664111632,-0.991667684514116,-0.127919967571444,0.0152227479379851,0.821213532944993,0.0556381603301177,-0.31871944973454,0.946214802369497,0.332794375969793,0,0,0,1,-7.31633,-21.25032,298.43832,0.11274,0.99317,-0.95765,3.59023,16.62015,357.36975,0.12115,0.72224,-0.96037,-1.26623,-0.52096,20.42835,0.23548,-1.73021,1.11838,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.694174,-0.0995618715669626,0.984521242395489,-0.144241140371579,0.239514631544616,-0.989425883344013,-0.113320641425541,-0.0905256411493627,0.8606322119704,-0.105469906778682,0.133703010545621,0.985393199450991,0.0970134259993845,0,0,0,1,-0.116171579275614,0.93899368738234,0.323720795662975,0.279835765441324,-0.991639475005865,-0.128085177095971,0.0156643426442935,0.82141725481638,0.0561725487085549,-0.319194574974709,0.946023058686645,0.332717351446378,0,0,0,1,-5.48597,-21.20111,297.82787,0.11648,0.99202,-0.95766,2.95684,17.57625,351.88612,0.11116,0.72344,-0.96036,-1.27316,-0.52681,20.42776,0.23747,-1.73307,1.11914,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.7041737,-0.0993990467017885,0.984562729686691,-0.144070039560984,0.239732654013874,-0.989458002210416,-0.113124278346855,-0.0904199060035901,0.860742892748463,-0.105321883375354,0.13356360141438,0.985427954365813,0.0969861487883739,0,0,0,1,-0.116254147487143,0.938958787344031,0.323792302161923,0.280186695000722,-0.99160913089484,-0.128281622489896,0.015974852120565,0.821588266898744,0.0565363189929431,-0.319218237647515,0.945993406571569,0.332696596294974,0,0,0,1,-6.41065,-20.84394,290.50716,0.11582,0.99441,-0.95763,2.95591,17.60693,348.83451,0.10724,0.72306,-0.96036,-1.28077,-0.53182,20.42822,0.23880,-1.73379,1.12041,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.7141737,-0.0993355132981236,0.984598769240882,-0.143867499108892,0.239954534298945,-0.98948315015407,-0.113019188879421,-0.090275934001344,0.86083493641351,-0.105145354664971,0.133386863167766,0.985470719192344,0.0969619439948832,0,0,0,1,-0.116171415534434,0.938929391274277,0.323907233042392,0.280434044742966,-0.991600173154089,-0.128310257669512,0.0162970244788308,0.821819230417572,0.0568623834608777,-0.319293221054544,0.945948525474524,0.332557137118496,0,0,0,1,-5.77008,-22.10511,295.98772,0.11841,0.99234,-0.95766,-0.06461,16.25960,354.31533,0.10732,0.72110,-0.96038,-1.28633,-0.53748,20.43145,0.24009,-1.73449,1.12017,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.7241742,-0.0994095368334869,0.984646298605768,-0.143490470582768,0.240178808911567,-0.989486375784476,-0.113044211527591,-0.0902096954067369,0.860895140521957,-0.105045410212469,0.133014152703208,0.985531787638976,0.0969115617641685,0,0,0,1,-0.115950471611336,0.938657412298205,0.324773488718579,0.280804517080452,-0.991605949494527,-0.128229026968085,0.0165839007550685,0.822034215009338,0.0572119884557323,-0.320124396351338,0.945646488148841,0.332481768968394,0,0,0,1,-4.28658,-20.27558,299.66796,0.13100,0.99422,-0.95764,3.27153,17.19858,359.81720,0.09970,0.72131,-0.96038,-1.29670,-0.54235,20.42908,0.24142,-1.73941,1.11892,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1188.734174,-0.0993021173869792,0.984688534637704,-0.143274865752911,0.240403047691517,-0.989515690625497,-0.112895012294957,-0.0900748595495281,0.861001735298646,-0.104870694592175,0.132828097600038,0.985575485230892,0.0968947087238641,0,0,0,1,-0.115793544099964,0.93844379820294,0.325446172137818,0.281090546765418,-0.991606501497778,-0.128191861005151,0.01683615175288,0.822278572061474,0.0575193263786864,-0.320765023782222,0.945410731607981,0.332409014894652,0,0,0,1,-8.23934,-20.94838,296.61049,0.11555,0.99445,-0.95763,3.58912,16.65697,353.70783,0.10185,0.72205,-0.96037,-1.30472,-0.54801,20.42761,0.24267,-1.74320,1.11813,0.20000,0.80000,0.05000,0.00000,0.00000,-1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
